Year,After,Ohio,School_District,Number_Tested,Pct_Prof_Or_Above,Tot_Pop,Perc_Male,Perc_Female,Perc_Under5,Perc_5to19,Perc_20Plus,Perc_Caucasian,Perc_OtherEthnicity,Perc_NoBach,Perc_BachPlus,Median_Inc
2013,1,1,"Copley-Fairlawn City School District, Ohio",188,91,20249,0.48,0.52,0.05,0.15,0.8,0.73,0.27,0.55,0.45,62356
2013,1,0,"Council Bluffs Community School District, Iowa",569,70.8,60389,0.49,0.51,0.07,0.16,0.77,0.94,0.06,0.84,0.16,41026
2008,0,0,"Council Bluffs Community School District, Iowa",569,64.9,58917,0.5,0.5,0.07,0.17,0.75,0.94,0.06,0.86,0.14,44789
2008,0,1,"Cuyahoga Falls City School District, Ohio",372,79.8,41256,0.47,0.53,0.05,0.14,0.81,0.97,0.03,0.72,0.28,48355
2013,1,1,"Cuyahoga Falls City School District, Ohio",382,88.2,41248,0.49,0.51,0.06,0.15,0.8,0.94,0.06,0.7,0.3,44641
2013,1,0,"Davenport Community School District, Iowa",1078,70,109701,0.49,0.51,0.07,0.17,0.76,0.82,0.18,0.75,0.25,43358
2008,0,0,"Davenport Community School District, Iowa",1063,66.3,104842,0.49,0.51,0.07,0.17,0.76,0.84,0.16,0.77,0.23,43425
2008,0,1,"Dayton City School District, Ohio",1087,45.5,157906,0.48,0.52,0.07,0.17,0.76,0.51,0.49,0.85,0.15,30646
2013,1,1,"Dayton City School District, Ohio",1005,52.6,151425,0.49,0.51,0.06,0.14,0.79,0.52,0.48,0.84,0.16,25554
2008,0,1,"Delaware City School District, Ohio",377,77.5,35206,0.48,0.52,0.08,0.17,0.76,0.88,0.12,0.7,0.3,51459
2013,1,1,"Delaware City School District, Ohio",429,85.6,36947,0.48,0.52,0.06,0.17,0.77,0.93,0.07,0.69,0.31,48818
2013,1,0,"Des Moines Independent Community School District, Iowa",2290,62.1,204334,0.49,0.51,0.08,0.17,0.75,0.78,0.22,0.75,0.25,41320
2008,0,0,"Des Moines Independent Community School District, Iowa",2050,60.5,198033,0.49,0.51,0.08,0.17,0.75,0.79,0.21,0.77,0.23,44012
2008,0,1,"Dublin City School District, Ohio",1029,86.6,76270,0.5,0.5,0.08,0.21,0.72,0.81,0.19,0.39,0.61,78935
