tot_pop_log,median_inc_log,year,after,ohio,school_district,number_tested,pct_prof_or_above,tot_pop,perc_male,perc_female,perc_under5,perc_5to19,perc_20plus,perc_caucasian,perc_otherethnicity,perc_nobach,perc_bachplus,median_inc,interaction
12.899072315210924,10.251747186873514,2008,0,1,"Cleveland Municipal School District, Ohio",3515,46.5,399940,0.48,0.52,0.07,0.19,0.74,0.41,0.59,0.88,0.12,28331,0
12.883826961482638,10.09220527683532,2013,1,1,"Cleveland Municipal School District, Ohio",2621,55.0,393889,0.48,0.52,0.07,0.16,0.77,0.41,0.59,0.85,0.15,24153,1
10.171833888681167,10.583321504033949,2013,1,0,"Clinton Community School District, Iowa",230,87.8,26155,0.49,0.51,0.07,0.16,0.77,0.9,0.1,0.81,0.19,39470,0
10.176411254012363,10.57380101668713,2008,0,0,"Clinton Community School District, Iowa",271,73.4,26275,0.48,0.52,0.07,0.17,0.77,0.93,0.07,0.85,0.15,39096,0
10.061431030602083,10.95112228643937,2013,1,0,"College Community School District, Iowa",349,76.8,23421,0.48,0.52,0.07,0.18,0.75,0.93,0.07,0.69,0.31,57017,0
9.960859832393998,10.912065718500257,2008,0,0,"College Community School District, Iowa",305,84.6,21180,0.48,0.52,0.08,0.18,0.73,0.93,0.07,0.73,0.27,54833,0
13.02291424393643,10.515343329459467,2008,0,1,"Columbus City School District, Ohio",4193,52.7,452667,0.49,0.51,0.07,0.14,0.79,0.6,0.4,0.72,0.28,36876,0
13.129549495298988,10.441091417334723,2013,1,1,"Columbus City School District, Ohio",3989,58.4,503605,0.49,0.51,0.07,0.13,0.8,0.56,0.44,0.71,0.29,34237,1
9.955130785687967,11.054534151052659,2008,0,1,"Copley-Fairlawn City School District, Ohio",252,89.3,21059,0.49,0.51,0.05,0.19,0.76,0.74,0.26,0.51,0.49,63229,0
9.915910072534686,11.040631214253112,2013,1,1,"Copley-Fairlawn City School District, Ohio",188,91.0,20249,0.48,0.52,0.05,0.15,0.8,0.73,0.27,0.55,0.45,62356,1
11.008578807301946,10.621985665531742,2013,1,0,"Council Bluffs Community School District, Iowa",569,70.8,60389,0.49,0.51,0.07,0.16,0.77,0.94,0.06,0.84,0.16,41026,0
10.983901925669148,10.709740179201345,2008,0,0,"Council Bluffs Community School District, Iowa",569,64.9,58917,0.5,0.5,0.07,0.17,0.75,0.94,0.06,0.86,0.14,44789,0
10.627576074335622,10.786345588321883,2008,0,1,"Cuyahoga Falls City School District, Ohio",372,79.8,41256,0.47,0.53,0.05,0.14,0.81,0.97,0.03,0.72,0.28,48355,0
